id,character,category,svg_file,node_count,subpaths_count,status,orig_w,orig_h,scale,baseline
g_p03_l01_titulo_top_01_T,T,mayuscula,g_p03_l01_titulo_top_01_T.svg,142,4,success,166,170,4.4346,750
g_p03_l01_titulo_top_02_r,r,minuscula,g_p03_l01_titulo_top_02_r.svg,85,3,success,103,95,6.6704,750
g_p03_l01_titulo_top_03_a,a,minuscula,g_p03_l01_titulo_top_03_a.svg,74,2,success,97,80,8.801,750
g_p03_l01_titulo_top_04_v,v,minuscula,g_p03_l01_titulo_top_04_v.svg,61,2,success,97,74,9.1111,750
g_p03_l01_titulo_top_05_e,e,minuscula,g_p03_l01_titulo_top_05_e.svg,51,3,success,70,86,9.2113,750
g_p03_l01_titulo_top_06_s,s,minuscula,g_p03_l01_titulo_top_06_s.svg,61,1,success,99,92,7.4182,750
g_p03_l02_verso1_01_d,d,minuscula,g_p03_l02_verso1_01_d.svg,82,2,success,114,104,6.3994,750
g_p03_l02_verso1_02_e,e,minuscula,g_p03_l02_verso1_02_e.svg,38,3,success,56,57,13.4313,750
g_p03_l02_verso1_03_l,l,minuscula,g_p03_l02_verso1_03_l.svg,48,1,success,87,95,7.4825,750
g_p03_l02_verso1_04_o,o,minuscula,g_p03_l02_verso1_04_o.svg,54,1,success,97,78,9.0609,750
g_p03_l02_verso1_05_e,e,minuscula,g_p03_l02_verso1_05_e.svg,47,2,success,74,63,11.0676,750
g_p03_l02_verso1_06_s,s,minuscula,g_p03_l02_verso1_06_s.svg,51,1,success,69,56,11.8841,750
g_p03_l02_verso1_07_n,n,minuscula,g_p03_l02_verso1_07_n.svg,59,1,success,78,73,10.4748,750
g_p03_l03_verso2_01_i,i,minuscula,g_p03_l03_verso2_01_i.svg,19,2,success,57,70,8.8842,750
g_p03_l03_verso2_02_c,c,minuscula,g_p03_l03_verso2_02_c.svg,45,2,success,94,90,9.5289,750
g_p03_l03_verso2_03_V,V,mayuscula,g_p03_l03_verso2_03_V.svg,64,1,success,95,111,6.4026,750
g_p03_l03_verso2_04_g,g,minuscula,g_p03_l03_verso2_04_g.svg,105,3,success,104,141,4.7444,750
g_p03_l03_verso2_05_o,o,minuscula,g_p03_l03_verso2_05_o.svg,48,3,success,102,70,8.6103,750
g_p03_l03_verso2_06_s,s,minuscula,g_p03_l03_verso2_06_s.svg,43,1,success,94,81,10.5315,750
g_p03_l03_verso2_07_a,a,minuscula,g_p03_l03_verso2_07_a.svg,54,1,success,83,73,10.7895,750
g_p03_l03_verso2_08_o,o,minuscula,g_p03_l03_verso2_08_o.svg,44,2,success,68,76,11.4434,750
g_p03_l03_verso2_09_n,n,minuscula,g_p03_l03_verso2_09_n.svg,61,2,success,109,62,8.7947,750
g_p03_l03_verso2_10_n,n,minuscula,g_p03_l03_verso2_10_n.svg,55,1,success,102,68,8.0087,750
g_p03_l03_verso2_11_n,n,minuscula,g_p03_l03_verso2_11_n.svg,48,1,success,74,60,11.0464,750
g_p03_l04_verso3_01_a,a,minuscula,g_p03_l04_verso3_01_a.svg,48,2,success,70,70,11.696,750
g_p03_l04_verso3_02_s,s,minuscula,g_p03_l04_verso3_02_s.svg,56,2,success,141,91,6.7292,750
g_p03_l04_verso3_03_s,s,minuscula,g_p03_l04_verso3_03_s.svg,29,1,success,87,74,10.91,750
g_p03_l04_verso3_04_s,s,minuscula,g_p03_l04_verso3_04_s.svg,54,3,success,93,68,8.9582,750
g_p03_l04_verso3_05_o,o,minuscula,g_p03_l04_verso3_05_o.svg,55,3,success,78,59,10.939,750
g_p03_l07_verso6_01_y,y,minuscula,g_p03_l07_verso6_01_y.svg,85,3,success,119,167,3.8743,750
g_p03_l07_verso6_02_h,h,minuscula,g_p03_l07_verso6_02_h.svg,137,3,success,181,156,4.0712,750
g_p03_l07_verso6_03_i,i,minuscula,g_p03_l07_verso6_03_i.svg,60,3,success,104,118,6.053,750
g_p03_l07_verso6_04_j,j,minuscula,g_p03_l07_verso6_04_j.svg,86,2,success,107,191,3.2314,750
g_p03_l07_verso6_44_u002c,",",signo,g_p03_l07_verso6_44_u002c.svg,23,1,success,72,63,11.1397,750
g_p03_l07_verso6_06_u,u,minuscula,g_p03_l07_verso6_06_u.svg,59,3,success,98,78,8.3319,750
g_p03_l07_verso6_07_s,s,minuscula,g_p03_l07_verso6_07_s.svg,42,3,success,95,81,8.9861,750
g_p03_l07_verso6_08_s,s,minuscula,g_p03_l07_verso6_08_s.svg,68,1,success,103,128,5.1464,750
g_p03_l07_verso6_09_e,e,minuscula,g_p03_l07_verso6_09_e.svg,47,2,success,65,90,8.0392,750
g_p03_l08_verso7_01_p,p,minuscula,g_p03_l08_verso7_01_p.svg,119,4,success,97,148,4.0453,750
g_p03_l08_verso7_02_r,r,minuscula,g_p03_l08_verso7_02_r.svg,60,2,success,80,81,8.6688,750
g_p03_l08_verso7_03_e,e,minuscula,g_p03_l08_verso7_03_e.svg,60,2,success,67,72,9.3915,750
g_p03_l08_verso7_04_g,g,minuscula,g_p03_l08_verso7_04_g.svg,104,3,success,92,124,5.0894,750
g_p03_l08_verso7_05_s,s,minuscula,g_p03_l08_verso7_05_s.svg,46,1,success,104,92,9.1337,750
g_p03_l08_verso7_44_u002c,",",signo,g_p03_l08_verso7_44_u002c.svg,32,1,success,75,63,11.557,750
g_p03_l09_verso8_01_v,v,minuscula,g_p03_l09_verso8_01_v.svg,106,2,success,124,128,5.9594,750
g_p03_l09_verso8_02_q,q,minuscula,g_p03_l09_verso8_02_q.svg,72,3,success,67,149,5.0407,750
g_p03_l09_verso8_03_r,r,minuscula,g_p03_l09_verso8_03_r.svg,61,3,success,76,69,9.1718,750
g_p03_l10_verso9_01_L,L,mayuscula,g_p03_l10_verso9_01_L.svg,162,10,success,121,140,4.9949,750
g_p03_l10_verso9_02_A,A,mayuscula,g_p03_l10_verso9_02_A.svg,243,13,success,122,140,5.0,750
g_p03_l10_verso9_03_S,S,mayuscula,g_p03_l10_verso9_03_S.svg,203,9,success,109,145,4.8276,750
g_p03_l10_verso9_04_I,I,mayuscula,g_p03_l10_verso9_04_I.svg,78,4,success,115,143,5.1852,750
g_p03_l10_verso9_05_S,S,mayuscula,g_p03_l10_verso9_05_S.svg,351,15,success,117,165,4.2388,750
g_p03_l10_verso9_06_D,D,mayuscula,g_p03_l10_verso9_06_D.svg,163,12,success,130,138,5.0581,750
g_p03_l10_verso9_07_E,E,mayuscula,g_p03_l10_verso9_07_E.svg,401,22,success,134,160,4.3749,750
g_p03_l10_verso9_08_T,T,mayuscula,g_p03_l10_verso9_08_T.svg,167,9,success,149,174,4.3062,750
g_p03_l10_verso9_09_R,R,mayuscula,g_p03_l10_verso9_09_R.svg,178,10,success,145,174,4.6929,750
g_p03_l10_verso9_10_A,A,mayuscula,g_p03_l10_verso9_10_A.svg,238,14,success,138,167,4.564,750
g_p03_l13_rojo1_01_m,m,minuscula,g_p03_l13_rojo1_01_m.svg,111,2,success,199,120,4.1836,750
g_p03_l13_rojo1_02_e,e,minuscula,g_p03_l13_rojo1_02_e.svg,60,1,success,101,93,7.7142,750
g_p03_l13_rojo1_03_s,s,minuscula,g_p03_l13_rojo1_03_s.svg,92,2,success,156,138,4.5612,750
g_p03_l13_rojo1_46_u002e,.,signo,g_p03_l13_rojo1_46_u002e.svg,33,5,success,209,83,4.2548,750
g_p03_l14_rojo2_01_y,y,minuscula,g_p03_l14_rojo2_01_y.svg,79,2,success,177,164,4.2309,750
g_p03_l14_rojo2_02_U,U,mayuscula,g_p03_l14_rojo2_02_U.svg,139,8,success,150,133,5.2632,750
g_p03_l15_rojo3_01_p,p,minuscula,g_p03_l15_rojo3_01_p.svg,130,2,success,199,197,3.2182,750
g_p03_l15_rojo3_02_u,u,minuscula,g_p03_l15_rojo3_02_u.svg,60,2,success,145,91,5.8894,750
g_p03_l16_bloque_01_P,P,mayuscula,g_p03_l16_bloque_01_P.svg,72,3,success,107,109,7.1334,750
g_p02_l01_encabezado_01_c,c,minuscula,g_p02_l01_encabezado_01_c.svg,42,1,success,88,75,9.2938,750
g_p02_l01_encabezado_02_a,a,minuscula,g_p02_l01_encabezado_02_a.svg,60,2,success,85,75,8.6519,750
g_p02_l01_encabezado_03_o,o,minuscula,g_p02_l01_encabezado_03_o.svg,42,3,success,53,73,11.0839,750
g_p02_l01_encabezado_04_n,n,minuscula,g_p02_l01_encabezado_04_n.svg,50,2,success,98,69,9.0109,750
g_p02_l01_encabezado_58_u003a,:,signo,g_p02_l01_encabezado_58_u003a.svg,15,2,success,62,83,11.6167,750
g_p02_l03_ezra2_01_x,x,minuscula,g_p02_l03_ezra2_01_x.svg,42,1,success,62,62,10.4112,750
g_p02_l03_ezra2_34_u0022,"""",signo,g_p02_l03_ezra2_34_u0022.svg,45,2,success,93,67,12.0588,750
g_p02_l04_ezra3_01_t,t,minuscula,g_p02_l04_ezra3_01_t.svg,58,1,success,74,110,6.3527,750
g_p02_l04_ezra3_02_u,u,minuscula,g_p02_l04_ezra3_02_u.svg,40,1,success,92,74,8.8632,750
g_p02_l04_ezra3_03_r,r,minuscula,g_p02_l04_ezra3_03_r.svg,32,1,success,74,69,8.8925,750
g_p02_l05_ezra4_01_z,z,minuscula,g_p02_l05_ezra4_01_z.svg,51,2,success,109,82,8.7608,750
g_p02_l05_ezra4_02_d,d,minuscula,g_p02_l05_ezra4_02_d.svg,60,3,success,111,110,5.5736,750
g_p02_l06_babel_01_B,B,mayuscula,g_p02_l06_babel_01_B.svg,71,3,success,112,102,7.3512,750
g_p02_l06_babel_02_b,b,minuscula,g_p02_l06_babel_02_b.svg,50,1,success,95,107,6.2921,750
g_p02_l06_babel_03_1,1,numero,g_p02_l06_babel_03_1.svg,37,1,success,64,87,8.0685,750
g_p02_l06_babel_04_1,1,numero,g_p02_l06_babel_04_1.svg,41,3,success,41,79,9.1549,750
g_p02_l07_todoel_01_m,m,minuscula,g_p02_l07_todoel_01_m.svg,90,1,success,128,67,6.5482,750
g_p02_l07_todoel_02_m,m,minuscula,g_p02_l07_todoel_02_m.svg,69,2,success,115,79,7.0957,750
g_custom_1787375326385_01_E,E,mayuscula,g_custom_1787375326385_01_E.svg,33,4,success,53,55,18.4211,750
g_custom_1787375326385_03_p,p,minuscula,g_custom_1787375326385_03_p.svg,25,2,success,44,59,13.6364,750
g_custom_1787375326385_04_u00e9,é,minuscula,g_custom_1787375326385_04_u00e9.svg,15,2,success,26,43,40.569,750
g_custom_1787375326385_05_t,t,minuscula,g_custom_1787375326385_05_t.svg,18,1,success,32,37,30.0,750
g_custom_1787375326385_06_t,t,minuscula,g_custom_1787375326385_06_t.svg,20,1,success,35,41,25.0,750
g_custom_1787375326385_07_v,v,minuscula,g_custom_1787375326385_07_v.svg,9,1,success,22,37,43.4289,750
g_custom_1787375657342_01_u00f1,ñ,minuscula,g_custom_1787375657342_01_u00f1.svg,23,1,success,23,29,29.8656,750
g_cap_1787377048367_01_F,F,mayuscula,g_cap_1787377048367_01_F.svg,56,3,success,29,38,20.5193,750
g_cap_1787377048367_02_C,C,mayuscula,g_cap_1787377048367_02_C.svg,52,2,success,28,30,23.0892,750
g_cap_1787377048367_03_H,H,mayuscula,g_cap_1787377048367_03_H.svg,46,4,success,27,38,20.8206,750
g_cap_1787377048367_04_R,R,mayuscula,g_cap_1787377048367_04_R.svg,57,5,success,31,32,21.7933,750
g_cap_1787377161791_01_M,M,mayuscula,g_cap_1787377161791_01_M.svg,70,2,success,40,38,18.4211,750
g_cap_1787377161791_02_N,N,mayuscula,g_cap_1787377161791_02_N.svg,54,2,success,29,34,20.4484,750
g_cap_1787377598994_01_u00e1,á,minuscula,g_cap_1787377598994_01_u00e1.svg,22,2,success,47,43,16.1447,750
g_cap_1787377648006_01_n,n,minuscula,g_cap_1787377648006_01_n.svg,31,1,success,39,28,21.0256,750
g_cap_1787377683634_01_u00e1,á,minuscula,g_cap_1787377683634_01_u00e1.svg,22,2,success,36,36,19.4189,750
g_cap_1787379122998_01_f,f,minuscula,g_cap_1787379122998_01_f.svg,55,4,success,81,79,8.2503,750
g_cap_1787379184669_01_l,l,minuscula,g_cap_1787379184669_01_l.svg,19,1,success,54,59,13.167,750
g_cap_1787379291083_01_h,h,minuscula,g_cap_1787379291083_01_h.svg,51,3,success,87,83,9.9351,750
