id,code,char,category,raw_image,isolated_image,svg_vector,context_word,ink,style,source_line,width,height
GLYPH_001,T_imp,T,mayuscula,crops_raw/T_imp_raw.png,crops_isolated/T_imp_iso.png,svg_vectors/T_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,150,150
GLYPH_002,E_imp,E,mayuscula,crops_raw/E_imp_raw.png,crops_isolated/E_imp_iso.png,svg_vectors/E_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,88,109
GLYPH_003,M_imp,M,mayuscula,crops_raw/M_imp_raw.png,crops_isolated/M_imp_iso.png,svg_vectors/M_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,160,99
GLYPH_004,P_imp,P,mayuscula,crops_raw/P_imp_raw.png,crops_isolated/P_imp_iso.png,svg_vectors/P_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,120,116
GLYPH_005,O_imp,O,mayuscula,crops_raw/O_imp_raw.png,crops_isolated/O_imp_iso.png,svg_vectors/O_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,110,108
GLYPH_006,R_imp,R,mayuscula,crops_raw/R_imp_raw.png,crops_isolated/R_imp_iso.png,svg_vectors/R_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,100,114
GLYPH_007,A_imp,A,mayuscula,crops_raw/A_imp_raw.png,crops_isolated/A_imp_iso.png,svg_vectors/A_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,100,150
GLYPH_008,L_imp,L,mayuscula,crops_raw/L_imp_raw.png,crops_isolated/L_imp_iso.png,svg_vectors/L_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,90,150
GLYPH_009,S_imp,S,mayuscula,crops_raw/S_imp_raw.png,crops_isolated/S_imp_iso.png,svg_vectors/S_imp.svg,TEMPORALES (imprenta),azul,imprenta,p03_l16_bloque.png,109,150
GLYPH_010,Y_imp,Y,mayuscula,crops_raw/Y_imp_raw.png,crops_isolated/Y_imp_iso.png,svg_vectors/Y_imp.svg,TEMPORALES Y (imprenta),azul,imprenta,p03_l16_bloque.png,110,150
GLYPH_011,B_cur,B,mayuscula,crops_raw/B_cur_raw.png,crops_isolated/B_cur_iso.png,svg_vectors/B_cur.svg,Babel (cursiva),azul,cursiva,p02_l06_babel.png,128,159
GLYPH_012,C_cur,C,mayuscula,crops_raw/C_cur_raw.png,crops_isolated/C_cur_iso.png,svg_vectors/C_cur.svg,Coloane (firma cursiva),azul,cursiva,p03_l17_final.png,100,76
GLYPH_013,E_cur,E,mayuscula,crops_raw/E_cur_raw.png,crops_isolated/E_cur_iso.png,svg_vectors/E_cur.svg,Ezra (cursiva),azul,cursiva,p02_l05_ezra4.png,160,96
GLYPH_014,G_cur,G,mayuscula,crops_raw/G_cur_raw.png,crops_isolated/G_cur_iso.png,svg_vectors/G_cur.svg,Génesis (cursiva),azul,cursiva,p02_l08_mismas.png,180,130
GLYPH_015,I_cur_red,I,mayuscula,crops_raw/I_cur_red_raw.png,crops_isolated/I_cur_red_iso.png,svg_vectors/I_cur_red.svg,Isla (cursiva roja),roja,cursiva,p03_l13_rojo1.png,242,138
GLYPH_016,L_cur,L,mayuscula,crops_raw/L_cur_raw.png,crops_isolated/L_cur_iso.png,svg_vectors/L_cur.svg,La literatura (cursiva),azul,cursiva,p02_l06_babel.png,180,160
GLYPH_017,P_cur,P,mayuscula,crops_raw/P_cur_raw.png,crops_isolated/P_cur_iso.png,svg_vectors/P_cur.svg,Pound (cursiva),azul,cursiva,p02_l05_ezra4.png,240,131
GLYPH_018,S_cur,S,mayuscula,crops_raw/S_cur_raw.png,crops_isolated/S_cur_iso.png,svg_vectors/S_cur.svg,Significaciones (cursiva),azul,cursiva,p02_l01_encabezado.png,155,183
GLYPH_019,S_cur_red,S,mayuscula,crops_raw/S_cur_red_raw.png,crops_isolated/S_cur_red_iso.png,svg_vectors/S_cur_red.svg,Sagrada (cursiva roja),roja,cursiva,p03_l13_rojo1.png,191,152
GLYPH_020,T_cur,T,mayuscula,crops_raw/T_cur_raw.png,crops_isolated/T_cur_iso.png,svg_vectors/T_cur.svg,Travesías (cursiva),azul,cursiva,p03_l11_medio1.png,109,162
