ID,Capture_ID,Page,Character,Category,Notes,BBox_X,BBox_Y,BBox_W,BBox_H,Polygon,Crop_File,Crop_Isolated_File
g_p03_l01_titulo_top_01_T,p03_l01_titulo_top,3,T,mayuscula,T inicial,69,10,166,170,,g_p03_l01_titulo_top_01_T.png,g_p03_l01_titulo_top_01_T_iso.png
g_p03_l01_titulo_top_02_r,p03_l01_titulo_top,3,r,minuscula,,233,74,103,95,,g_p03_l01_titulo_top_02_r.png,g_p03_l01_titulo_top_02_r_iso.png
g_p03_l01_titulo_top_03_a,p03_l01_titulo_top,3,a,minuscula,,341,91,97,80,,g_p03_l01_titulo_top_03_a.png,g_p03_l01_titulo_top_03_a_iso.png
g_p03_l01_titulo_top_04_v,p03_l01_titulo_top,3,v,minuscula,,442,100,97,74,,g_p03_l01_titulo_top_04_v.png,g_p03_l01_titulo_top_04_v_iso.png
g_p03_l01_titulo_top_05_e,p03_l01_titulo_top,3,e,minuscula,,534,97,70,86,,g_p03_l01_titulo_top_05_e.png,g_p03_l01_titulo_top_05_e_iso.png
g_p03_l01_titulo_top_06_s,p03_l01_titulo_top,3,s,minuscula,,604,93,99,92,,g_p03_l01_titulo_top_06_s.png,g_p03_l01_titulo_top_06_s_iso.png
g_p03_l02_verso1_01_d,p03_l02_verso1,3,d,minuscula,,678,56,114,104,,g_p03_l02_verso1_01_d.png,g_p03_l02_verso1_01_d_iso.png
g_p03_l02_verso1_02_e,p03_l02_verso1,3,e,minuscula,,781,96,56,57,,g_p03_l02_verso1_02_e.png,g_p03_l02_verso1_02_e_iso.png
g_p03_l02_verso1_03_l,p03_l02_verso1,3,l,minuscula,,832,58,87,95,,g_p03_l02_verso1_03_l.png,g_p03_l02_verso1_03_l_iso.png
g_p03_l02_verso1_04_o,p03_l02_verso1,3,o,minuscula,,950,89,97,78,,g_p03_l02_verso1_04_o.png,g_p03_l02_verso1_04_o_iso.png
g_p03_l02_verso1_05_e,p03_l02_verso1,3,e,minuscula,,1033,84,74,63,,g_p03_l02_verso1_05_e.png,g_p03_l02_verso1_05_e_iso.png
g_p03_l02_verso1_06_s,p03_l02_verso1,3,s,minuscula,,1098,97,69,56,,g_p03_l02_verso1_06_s.png,g_p03_l02_verso1_06_s_iso.png
g_p03_l02_verso1_07_n,p03_l02_verso1,3,n,minuscula,,375,97,78,73,,g_p03_l02_verso1_07_n.png,g_p03_l02_verso1_07_n_iso.png
g_p03_l03_verso2_01_i,p03_l03_verso2,3,i,minuscula,,181,15,57,70,,g_p03_l03_verso2_01_i.png,g_p03_l03_verso2_01_i_iso.png
g_p03_l03_verso2_02_c,p03_l03_verso2,3,c,minuscula,,542,27,94,90,,g_p03_l03_verso2_02_c.png,g_p03_l03_verso2_02_c_iso.png
g_p03_l03_verso2_03_V,p03_l03_verso2,3,V,mayuscula,V inicial,81,0,95,111,,g_p03_l03_verso2_03_V.png,g_p03_l03_verso2_03_V_iso.png
g_p03_l03_verso2_04_g,p03_l03_verso2,3,g,minuscula,,736,38,104,141,,g_p03_l03_verso2_04_g.png,g_p03_l03_verso2_04_g_iso.png
g_p03_l03_verso2_05_o,p03_l03_verso2,3,o,minuscula,,1882,68,102,70,,g_p03_l03_verso2_05_o.png,g_p03_l03_verso2_05_o_iso.png
g_p03_l03_verso2_06_s,p03_l03_verso2,3,s,minuscula,s final de una palabra,1027,42,94,81,,g_p03_l03_verso2_06_s.png,g_p03_l03_verso2_06_s_iso.png
g_p03_l03_verso2_07_a,p03_l03_verso2,3,a,minuscula,,1665,57,83,73,,g_p03_l03_verso2_07_a.png,g_p03_l03_verso2_07_a_iso.png
g_p03_l03_verso2_08_o,p03_l03_verso2,3,o,minuscula,,1233,45,68,76,,g_p03_l03_verso2_08_o.png,g_p03_l03_verso2_08_o_iso.png
g_p03_l03_verso2_09_n,p03_l03_verso2,3,n,minuscula,n final de una palabra,1299,61,109,62,,g_p03_l03_verso2_09_n.png,g_p03_l03_verso2_09_n_iso.png
g_p03_l03_verso2_10_n,p03_l03_verso2,3,n,minuscula,n final de una palabra,419,42,102,68,,g_p03_l03_verso2_10_n.png,g_p03_l03_verso2_10_n_iso.png
g_p03_l03_verso2_11_n,p03_l03_verso2,3,n,minuscula,n intermedia de una palabra,296,40,74,60,,g_p03_l03_verso2_11_n.png,g_p03_l03_verso2_11_n_iso.png
g_p03_l04_verso3_01_a,p03_l04_verso3,3,a,minuscula,,1807,5,70,70,,g_p03_l04_verso3_01_a.png,g_p03_l04_verso3_01_a_iso.png
g_p03_l04_verso3_02_s,p03_l04_verso3,3,s,minuscula,s final alargada,2120,9,141,91,,g_p03_l04_verso3_02_s.png,g_p03_l04_verso3_02_s_iso.png
g_p03_l04_verso3_03_s,p03_l04_verso3,3,s,minuscula,s final normal,1505,11,87,74,,g_p03_l04_verso3_03_s.png,g_p03_l04_verso3_03_s_iso.png
g_p03_l04_verso3_04_s,p03_l04_verso3,3,s,minuscula,s inicial,925,81,93,68,,g_p03_l04_verso3_04_s.png,g_p03_l04_verso3_04_s_iso.png
g_p03_l04_verso3_05_o,p03_l04_verso3,3,o,minuscula,o inicial,1628,0,78,59,,g_p03_l04_verso3_05_o.png,g_p03_l04_verso3_05_o_iso.png
g_p03_l07_verso6_01_y,p03_l07_verso6,3,y,minuscula,y sola,43,33,119,167,,g_p03_l07_verso6_01_y.png,g_p03_l07_verso6_01_y_iso.png
g_p03_l07_verso6_02_h,p03_l07_verso6,3,h,minuscula,h inicial,844,6,181,156,,g_p03_l07_verso6_02_h.png,g_p03_l07_verso6_02_h_iso.png
g_p03_l07_verso6_03_i,p03_l07_verso6,3,i,minuscula,,1000,46,104,118,,g_p03_l07_verso6_03_i.png,g_p03_l07_verso6_03_i_iso.png
g_p03_l07_verso6_04_j,p03_l07_verso6,3,j,minuscula,,1099,9,107,191,,g_p03_l07_verso6_04_j.png,g_p03_l07_verso6_04_j_iso.png
g_p03_l07_verso6_44_u002c,p03_l07_verso6,3,",",signo,,1330,137,72,63,,g_p03_l07_verso6_44_u002c.png,g_p03_l07_verso6_44_u002c_iso.png
g_p03_l07_verso6_06_u,p03_l07_verso6,3,u,minuscula,,610,77,98,78,,g_p03_l07_verso6_06_u.png,g_p03_l07_verso6_06_u_iso.png
